,PA18:PM10,PA18:PM25,PA18:NO2,PA18:NO,PA18:NOX,PA18:O3
,PARIS 18ème,PARIS 18ème,PARIS 18ème,PARIS 18ème,PARIS 18ème,PARIS 18ème
,PA18,PA18,PA18,PA18,PA18,PA18
,PM 10 particules,"PM 2,5 particules",dioxyde d azote,monoxyde d azote,oxydes d azote,ozone
,PM10,PM25,NO2,NO,NOX,O3
,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3
2023-01-05 19:00:00Z,3.5,2.9,27.5,1.4,29.7,50.1
2023-01-05 20:00:00Z,9.2,5.0,24.2,1.6,26.8,55.9
2023-01-05 21:00:00Z,9.0,6.6,20.7,1.4,22.8,60.6
2023-01-05 22:00:00Z,9.1,8.0,19.3,1.4,21.5,55.8
2023-01-05 23:00:00Z,10.0,7.7,14.9,1.0,16.5,55.3
2023-01-06 00:00:00Z,5.9,6.6,12.4,1.1,13.9,59.4
2023-01-06 01:00:00Z,5.5,4.6,10.2,0.6,11.1,63.5
2023-01-06 02:00:00Z,5.0,4.7,8.1,0.7,9.3,65.6
2023-01-06 03:00:00Z,3.0,5.1,7.5,0.8,8.8,65.0
2023-01-06 04:00:00Z,1.3,3.6,7.4,0.9,8.8,63.1
2023-01-06 05:00:00Z,3.0,5.5,8.5,0.8,9.8,60.8
2023-01-06 06:00:00Z,2.0,3.2,13.6,1.2,15.5,55.3
2023-01-06 07:00:00Z,4.5,4.0,20.7,1.8,23.4,49.0
2023-01-06 08:00:00Z,4.7,2.4,23.4,1.5,25.7,47.0
2023-01-06 09:00:00Z,7.8,5.0,26.4,2.0,29.6,43.5
2023-01-06 10:00:00Z,8.8,5.3,23.7,2.4,27.5,
2023-01-06 11:00:00Z,9.1,3.2,,,,
2023-01-06 12:00:00Z,9.1,4.5,,,,47.7
2023-01-06 13:00:00Z,11.7,8.1,17.4,2.2,20.8,50.2
2023-01-06 14:00:00Z,10.9,6.6,18.9,2.0,22.0,49.7
2023-01-06 15:00:00Z,10.4,5.6,17.9,2.1,21.3,52.4
2023-01-06 16:00:00Z,8.7,3.4,17.1,1.6,19.5,53.0
2023-01-06 17:00:00Z,10.1,5.5,20.1,1.1,21.7,48.5
2023-01-06 18:00:00Z,8.2,7.8,23.1,1.2,25.0,43.5
2023-01-06 19:00:00Z,9.2,6.8,25.1,1.2,26.9,42.3
2023-01-06 20:00:00Z,10.1,6.0,23.2,1.6,25.5,42.9
2023-01-06 21:00:00Z,11.0,9.6,24.3,1.5,26.5,36.7
2023-01-06 22:00:00Z,15.9,11.2,29.7,1.6,32.1,30.4
2023-01-06 23:00:00Z,16.0,9.8,24.1,1.2,25.9,38.1
2023-01-07 00:00:00Z,11.5,7.0,17.6,0.9,19.0,46.6
2023-01-07 01:00:00Z,7.4,5.1,15.4,1.0,17.0,51.9
2023-01-07 02:00:00Z,5.9,7.1,12.7,0.7,13.7,55.4
2023-01-07 03:00:00Z,7.3,5.6,12.0,0.8,13.2,53.7
2023-01-07 04:00:00Z,5.8,4.3,12.8,0.8,14.0,54.9
2023-01-07 05:00:00Z,5.2,3.4,15.7,0.8,17.0,53.4
2023-01-07 06:00:00Z,5.1,3.9,17.3,1.1,19.1,47.3
2023-01-07 07:00:00Z,6.3,5.4,19.7,1.6,22.1,38.1
2023-01-07 08:00:00Z,5.7,5.1,22.0,1.9,24.9,34.3
2023-01-07 09:00:00Z,6.3,5.2,21.1,2.5,24.9,35.4
2023-01-07 10:00:00Z,7.9,3.8,17.3,3.3,22.4,38.2
2023-01-07 11:00:00Z,8.0,8.0,16.7,3.3,21.8,40.3
2023-01-07 12:00:00Z,7.8,5.7,15.4,3.0,20.0,43.2
2023-01-07 13:00:00Z,7.0,6.5,13.2,2.4,16.8,49.5
2023-01-07 14:00:00Z,9.1,8.9,11.9,1.7,14.3,49.8
2023-01-07 15:00:00Z,12.0,7.2,14.8,1.5,17.0,47.0
2023-01-07 16:00:00Z,13.2,8.4,16.2,1.5,18.4,46.4
2023-01-07 17:00:00Z,9.2,8.0,21.0,1.7,23.6,42.7
2023-01-07 18:00:00Z,10.7,8.8,19.2,1.6,21.6,47.1
2023-01-07 19:00:00Z,8.3,5.4,17.4,1.3,19.4,49.4
2023-01-07 20:00:00Z,10.6,9.5,16.9,1.7,19.5,49.4
2023-01-07 21:00:00Z,11.0,9.8,16.2,1.8,18.9,50.0
2023-01-07 22:00:00Z,11.8,10.1,14.0,1.7,16.6,50.5
2023-01-07 23:00:00Z,10.0,8.0,12.1,1.3,14.1,53.9
2023-01-08 00:00:00Z,9.8,6.8,12.8,1.3,14.7,53.9
2023-01-08 01:00:00Z,7.7,7.3,10.4,0.9,11.9,55.1
2023-01-08 02:00:00Z,8.0,3.7,8.8,0.8,10.1,58.6
2023-01-08 03:00:00Z,6.8,2.8,7.6,0.8,8.9,63.0
2023-01-08 04:00:00Z,5.6,4.2,7.0,0.7,8.0,66.8
2023-01-08 05:00:00Z,9.5,6.2,8.4,0.6,9.3,68.3
2023-01-08 06:00:00Z,6.3,5.3,8.5,0.9,10.0,69.7
2023-01-08 07:00:00Z,6.9,7.7,10.4,0.8,11.6,75.0
2023-01-08 08:00:00Z,3.0,1.9,15.2,1.2,17.0,62.7
2023-01-08 09:00:00Z,2.8,2.0,18.6,1.5,20.8,57.0
2023-01-08 10:00:00Z,2.0,2.4,14.6,1.7,17.4,62.5
2023-01-08 11:00:00Z,4.9,3.3,12.9,2.0,16.0,67.8
2023-01-08 12:00:00Z,6.6,4.6,11.0,2.0,14.2,71.5
2023-01-08 13:00:00Z,10.4,6.9,10.7,1.7,13.4,72.0
2023-01-08 14:00:00Z,9.6,6.4,12.2,1.3,14.3,68.9
2023-01-08 15:00:00Z,8.7,7.0,11.4,1.0,13.1,70.6
2023-01-08 16:00:00Z,7.5,3.5,15.3,1.4,17.4,63.8
2023-01-08 17:00:00Z,7.0,5.9,15.2,1.2,17.2,63.0
2023-01-08 18:00:00Z,8.0,3.6,14.8,1.1,16.5,62.9
2023-01-08 19:00:00Z,4.7,6.0,15.3,1.3,17.4,64.8
2023-01-08 20:00:00Z,3.6,6.5,16.4,1.3,18.4,65.1
2023-01-08 21:00:00Z,2.3,3.2,14.6,1.1,16.3,68.7
2023-01-08 22:00:00Z,4.2,5.2,12.0,1.0,13.5,71.0
2023-01-08 23:00:00Z,2.1,3.9,10.2,1.2,12.1,71.7
2023-01-09 00:00:00Z,6.6,3.4,10.7,1.0,12.2,70.2
2023-01-09 01:00:00Z,7.5,1.8,9.4,1.1,11.0,69.2
2023-01-09 02:00:00Z,9.9,3.5,7.8,1.1,9.5,70.3
2023-01-09 03:00:00Z,11.7,3.4,7.7,1.0,9.3,68.9
2023-01-09 04:00:00Z,11.2,3.1,8.3,1.0,9.9,69.7
2023-01-09 05:00:00Z,9.4,2.9,9.2,1.2,11.0,70.9
2023-01-09 06:00:00Z,11.8,4.4,14.0,1.7,16.5,64.6
2023-01-09 07:00:00Z,10.0,3.8,17.6,1.7,20.2,63.0
